Country,City,AccentCity,Region,Population,Latitude,Longitude
lk,ihagama,Ihagama,29,,7.3666667,80.5666667
de,littel,Littel,06,,53.016667,8.166667
ru,volokovoye,Volokovoye,77,,56.720724,31.054491
mz,cabo nhavova,Cabo Nhavova,03,,-23.6277778,35.3291667
bd,sampur,Sampur,80,,22.9166667,91.3833333
bd,sail cho,Sail Cho,80,,23.3666667,91.0833333
ru,belaya,Belaya,77,,57.5,33.533333
at,liebenberg,Liebenberg,03,,48.8,15.45
af,saidukala,Saidukala,29,,33.316945,68.906389
tr,kutus,Kütüs,65,,38.2,42.716667
ng,kwambola,Kwambola,35,,10.263124,13.089565
pe,pampa mayo,Pampa Mayo,15,,-11.2230556,-76.6338889
la,ban sopyong,Ban Sôpyong,03,,19.683889,104.325278
ru,markovo,Markovo,69,,54.521257,31.156132
lk,illukpelessa,Illukpelessa,29,,7.0333333,80.9
ru,fedorikha,Fedorikha,77,,57.343582,34.576725
ng,amapunta,Amapunta,45,,5.316667,7.366667
cn,wangchiachi,Wangchiachi,12,,31.490556,112.258611
de,kleinelbersdorf,Kleinelbersdorf,13,,51.016667,13.983333
cn,sanho,Sanho,20,,50.466667,120.083333
pl,wilczkow,Wilczkow,72,,50.968531,16.982401
re,le ruisseau,Le Ruisseau,00,,-21.2333333,55.4333333
es,nava,Nava,55,,41.259958,-3.748929
mm,zayat,Zayat,13,,15.3166667,97.8666667
cy,paleosophos,Paleosophos,02,,35.3291667,33.2083333
ma,sidi salem,Sidi Salem,56,,32,-6.68
br,agreste,Agreste,05,,-13.866667,-43.233333
ru,nevedrevo,Nevedrevo,21,,57.254791,40.690091
et,guno,Guno,51,,9.116667,38.333333
ye,al kamis,Al Kamis,16,,15.1458333,43.9380556
pk,punjab govt employees housing society,Punjab Govt Employees Housing Society,04,,31.4449,74.288
cn,liuhong,Liuhong,32,,28.140632,103.210629
cn,leigu,Leigu,32,,31.781631,104.432925
ru,kyzbulak,Kyzbulak,13,,55.6149,60.8886
th,ban bunsiritham,Ban Bunsiritham,02,,19.809111,99.265056
pk,chak 130 tda,Chak 130 TDA,04,,31.009351,71.107772
in,jogapatti,Jogapatti,34,,26.883333,84.333333
in,gantlavelli,Gantlavelli,02,,17.002778,78.239722
ir,kheybar,Kheybar,10,,32.2919,47.9715
lr,duogmai,Duogmai,05,,8.1838889,-9.7316667
by,lamy,Lamy,04,,53.0666667,29.2333333
ru,osinovo,Osinovo,06,,61.935833,42.699444
rs,zebica,Zebica,00,,42.978611,21.372778
la,ban houaychoung,Ban Houaychoung,18,,21.154722,102.820278
vn,tay tien,Tây Tiên,86,,21.375141,105.129161
se,norra radom,Norra Rådom,22,,59.633333,13.633333
kh,phumi o kdol,Phumi O Kdol,01,,13.1833333,103.3666667
kr,kuryemal,Kuryemal,03,,35.897125,127.567658
ph,wanguilan,Wanguilan,12,,8.203333,124.608333
ir,fathabad,Fathabad,09,,34.47636,48.334259
la,ban ngoua-tai,Ban Ngoua-Tai,14,,19.344722,103.176389
et,ameniyos,Ameniyos,46,,12.833333,37.45
cn,longtuxi,Longtuxi,11,,29.08534,110.684447
ua,pervomayskoye,Pervomayskoye,21,,51.81938,34.026914
bj,bambreu,Bambreu,01,,9.6833333,1.5
mx,zapopan,Zapopan,14,987555,20.716667,-103.4
us,assyria,Assyria,MI,,42.4644444,-85.1313889
tr,degirmenyeni,Degirmenyeni,22,,41.762033,26.55309
ye,al qayfi,Al Qayfi,06,,13.2847222,44.5833333
ru,pantsyrevka,Pantsyrevka,67,,51.402586,44.652479
cm,moukoume,Moukoumé,05,,3.7522222,9.6025
ru,ulus,Ulus,29,,55.573,84.8976
id,nglempong lor,Nglempong Lor,10,,-7.737778,110.382222
ru,khurkhi,Khurkhi,17,,42.106271,47.126172
tz,scante,Scante,24,,-6.5666667,32.7666667
us,warren,Warren,PA,9569,41.8438889,-79.1452778
ru,dema,Dëma,34,,61.009377,54.435124
ru,malyye litvinki,Malyye Litvinki,51,,56.572049,43.910007
af,siah darreh,Siah Darreh,02,,34.625112,63.518937
ng,tswachiko,Tswachiko,31,,9.216667,6.383333
zm,kaluwela,Kaluwela,05,,-12.3833333,29.9833333
ru,novo-yelovka,Novo-Yelovka,39,,56.5009,90.645
iq,qal`a ahmad,Qal`a Ahmad,14,,32.4166667,46.7166667
az,sendlyar,Sendlyar,71,,40.118243,47.862164
sy,bir aarab,Bîr Aarab,04,,36.65,38.7166667
ma,auokeda,Auokeda,57,,35.091882,-4.588807
co,tolima b,Tolima B,01,,-1.527728,-71.983486
mm,man kawnhawng,Man Kawnhawng,11,,21.95,99.0
mz,uachave,Uachave,09,,-17.8494444,36.9177778
sn,sare demba mali,Saré Demba Mali,11,,13.1,-14.2333333
ir,gil'gilyan,Gil'gilyan,33,,37.3684,48.0575
id,watunggiling,Watunggiling,18,,-9.926368,120.677501
la,ban na louong,Ban Na Louong,17,,19.8675,102.139167
bd,ramshilpalotana,Ramshilpalotana,81,,23.0666667,90.0833333
af,qowl-e awghan,Qowl-e Awghan,08,,32.961052,67.39816
cn,laowangxu,Laowangxu,01,,33.066667,116.716667
so,bijiliino,Bijiliino,14,,1.85,44.7166667
eg,qalata as -ughra,Qalata as -ughra,09,,30.3622222,31.0258333
ru,maly kobezhekov,Maly Kobezhekov,31,,54.546389,89.725833
gr,trikkala,Tríkkala,12,,40.5980556,22.5566667
id,afdeling 5 a tinjoan,Afdeling 5 A Tinjoan,26,,3.0643,99.4442
tr,korucak,Korucak,44,,38.074273,38.705184
ru,novosergeyeka,Novosergeyeka,10,,52.382846,32.018035
de,schwansee,Schwansee,15,,51.083333,11.083333
cn,qingshuihecun,Qingshuihecun,26,,33.838816,108.047853
mx,jolochero,Jolochero,27,,17.516667,-91.066667
tr,yavsan,Yavsan,52,,40.47611,37.912916
de,baierberg,Baierberg,02,,48.266667,11.05
co,florencia,Florencia,38,,10.126776,-74.238177
ao,oscar cahembe,Óscar Cahembe,17,,-7.633333,21.3
tr,yalinli,Yalinli,20,,38.25,29.833333
af,mokhow payan,Mokhow Payan,26,,36.159204,69.979577
sy,guir ech,Guir Ech,01,,36.9333333,40.9166667
de,custenlohr,Custenlohr,02,,49.516667,10.233333
zm,nseluka,Nseluka,07,,-9.9666667,31.2666667
us,russtown,Russtown,NC,,33.9572222,-78.4316667
us,piney grove,Piney Grove,VA,,36.7897222,-78.8386111
cn,tanpengchen,Tanpengchen,04,,30.895,120.594722
au,kinchela creek,Kinchela Creek,02,,-30.966667,153
ru,adlerovka,Adlerovka,25,,55.025661,36.336264
kh,phumi ok taok,Phumi Ok Taok,15,,13.5666667,107.3166667
kr,seondupo,Seondupo,12,,37.626389,126.478611
ru,kuray-yelga,Kuray-Yelga,73,,55.0112,53.1028
am,lusagyukh,Lusagyukh,01,,40.6144444,44.3908333
fr,bretx,Bretx,B3,,43.703151,1.198267
sy,ech chir,Ech Chir,02,,35.5166667,35.85
ng,maidugu,Maidugu,35,,8.6,12.116667
ru,bolshoye lopatino,Bolshoye Lopatino,51,,57.301889,45.623478
id,meningapotil,Meningapotil,21,,-1.495833,123.378611
us,brentwood,Brentwood,KY,,37.2966667,-87.5133333
my,kampung temagi,Kampung Temagi,06,,4.0545,102.2219
cn,quanbo zhen,Quanbo Zhen,03,,28.380772,118.334211
mz,zatava,Zatava,09,,-17.2275,37.7480556
br,sitio joao vida leal filho,Sítio João Vida Leal Filho,18,,-23.505089,-50.032873
bd,maschari,Maschari,80,,23.0166667,92.0166667
cn,caojiashan,Caojiashan,11,,29.565976,110.871373
be,vlassardstraat,Vlassardstraat,08,,51.183333,3.716667
es,montmajor,Montmajor,56,,42.017482,1.735019
sk,klvace,Klvace,06,,48.8166667,17.4166667
cn,shuiduilong,Shuiduilong,03,,28.872745,114.576383
lt,kibeyki,Kibeyki,59,,54.61,22.7433333
us,finger,Finger,NC,,35.3847222,-80.3580556
af,dilghanah,Dilghanah,39,,32.65081,66.304917
in,madli,Madli,24,,26.166667,72.516667
ar,canada de jume,Canada de Jume,05,,-30.946991,-63.746437
my,kampong stampin,Kampong Stampin,11,,1.5,110.366667
mk,sipkovo tece,Sipkovo Tece,91,,42.0263889,20.935
id,parangan dua,Parangan Dua,08,,-8.4754,114.2619
hu,gabriella,Gabriella,04,,48.05,21.083333
us,bowmont,Bowmont,ID,,43.4561111,-116.5400000
ir,now qand,Now Qand,41,,33.262345,59.699982
la,ban vat sisoumang,Ban Vat Sisoumang,02,,14.883333,105.866667
iq,salman al `aytan,Salman Al `Aytan,04,,31.7677778,44.9833333
cn,beitou,Beitou,26,,34.611382,107.171254
lk,ihala tammanna,Ihala Tammanna,32,,7.6333333,79.9166667
hn,carbon,Carbon,08,,14.25,-87.05
cn,shibangou,Shibangou,32,,29.233323,102.718982
kz,novosukhotino,Novosukhotino,16,,53.85,69.716667
cn,yanghsichiao,Yanghsichiao,01,,30.65,117.083333
kp,saebatmok,Saebatmok,17,,40.9166667,129.6833333
us,imperial,Imperial,MO,,38.3697222,-90.3783333
az,mirzamammadkand,Mirzamammadkand,42,,41.378319,48.529393
zr,osongi i,Osongi I,09,,-1.1333333,24.3833333
la,ban dong mone,Ban Dong Mone,10,,16.516667,105.15
af,bala duri-ye dovvom,Bala Duri-ye Dovvom,03,,36.045868,68.667488
ie,farahy,Farahy,04,,52.2408333,-8.4422222
kp,kumgongni,Kumgongni,08,,37.9352778,126.4186111
us,santa elena,Santa Elena,PR,,17.9727778,-66.0994444
ng,nyikua,Nyikua,26,,7.6942,8.5896
se,esum,Esum,10,,61.25,13.733056
id,aleu meganda,Aleu Meganda,01,,4.4465,96.1128
ke,wamutitu,Wamutitu,01,,-0.55,37.0333333
kp,ryoha,Ryoha,15,,39.2683333,126.0158333
hu,janosfaimalom,Jánosfaimalom,09,,47.407216,16.957076
sy,turkumanli,Turkumanli,02,,35.8333333,35.9333333
id,pacet,Pacet,30,328324,-6.750278,107.046667
gb,terrydremont,Terrydremont,S4,,55,-6.916667
mp,port louis town,Port Louis Town,18,,-20.1619444,57.4988889
de,papstdorf,Papstdorf,13,,50.9,14.133333
tn,douar ousseltia,Douar Ousseltia,22,,36.264432,9.321079
gn,sounkouloun,Sounkouloun,26,,11.0166667,-9.1833333
na,mapulanga,Mapulanga,28,,-17.8666667,23.35
ma,kattos,Kattos,47,,31.200396,-8.660277
th,ban thong lang,Ban Thong Lang,68,,7.384417,100.437
ru,gusevo,Gusevo,90,,57.6103,57.0377
kh,phumi prek ta long,Phumi Prek Ta Long,07,,11.5,104.95
ir,sheykhsilu,Sheykhsilu,01,,39.0388,44.863
id,belimbing 3,Belimbing 3,30,,-6.098056,106.668611
fr,la thieuloye,La Thieuloye,B4,,50.41373,2.436641
bd,meratali,Meratali,81,,23.9833333,90.8833333
ng,jesse,Jesse,36,,5.864759,5.753723
ru,borovichki,Borovichki,60,,56.2038,29.9242
cn,huangshanxu,Huangshanxu,30,,21.845823,111.642672
cn,shangtaitougao,Shangtaitougao,19,,42.008932,121.815408
id,bojongraos,Bojongraos,30,,-7.1628,108.3154
ru,zelenyy dol,Zelënyy Dol,67,,51.249614,46.450614
gw,cadunco,Caduncó,10,,12.15,-14.3833333
ba,lopatice,Lopatice,01,,43.7605556,17.0141667
dk,sinebjerg,Sinebjerg,21,,55.082574,10.183792
ro,marasesti,Marasesti,27,,46.566667,24.366667
mz,nhacaxoxo,Nhacaxôxo,08,,-15.6936111,31.5597222
cn,lianghokou,Lianghokou,33,,29.166667,108.783333
cn,linglo,Linglo,16,,24.405405,106.581537
ua,dementovka,Dementovka,17,,47.454495,29.717181
gn,beli,Beli,27,,11.2833333,-13.6333333
pk,nazikabad,Nazikabad,05,,25.668995,68.985041
ru,balki,Balki,40,,55.278889,65.330278
ru,serpanki,Serpanki,86,,50.427954,39.559834
az,merikend,Merikend,50,,40.645516,48.543992
ph,taguin,Taguin,11,,10.06536,124.383022
ar,vicuna mackenna,Vicuna Mackenna,05,,-33.919652,-64.392153
by,blagovka,Blagovka,04,,53.3613889,32.3986111
cn,tumenlingqian,Tumenlingqian,19,,40.562238,124.396411
tr,akkoy,Akköy,17,,39.802844,27.172547
us,chestnut grove,Chestnut Grove,TN,,35.5111111,-85.8172222
af,shekhgai,Shekhgai,23,,31.487391,67.037373
la,ban xon,Ban Xon,06,,19.816667,102.216667
it,gorgonzola,Gorgonzola,09,19167,45.533333,9.4
ru,pyshminskiy,Pyshminskiy,71,,56.938672,60.902947
gt,el cinchado,El Cinchado,09,,15.616667,-88.433333
se,norra lovfallet,Norra Lövfallet,15,,59.983333,14.95
kr,taepyongiltong,Taepyongiltong,13,,37.446389,127.124167
gr,dafnoula,Dafnoúla,30,,39.1338889,21.4225
in,bisangarh,Bisangarh,36,,29.784444,77.167778
mm,pang lao,Pang Lao,06,,19.95,97.2
pk,tagaya,Tagaya,07,,36.1975,74.5524
ua,shabolat,Shabolat,17,,46.05,30.366667
lr,webo,Webo,02,,4.8516667,-7.5975
ir,dehru,Dehru,32,,37.4114,48.7015
de,holzolling,Holzolling,02,,47.866667,11.833333
it,casa bubbaco,Casa Bubbaco,20,,45.466667,12.416667
de,westereck,Westereck,10,,54.283333,8.65
cn,jiapuling,Jiapuling,12,,30.49925,114.603267
ba,velika jasenica,Velika Jasenica,01,,44.8183333,16.2516667
us,brayton,Brayton,NY,,43.4511111,-73.6258333
mm,thakahta,Thakahta,05,,16.0666667,98.45
lb,al majdal,Al Majdal,03,,34.2533333,35.7927778
ru,traktornyy,Traktornyy,46,,54.0838,42.8746
ru,malanino,Malanino,43,,52.216667,39.083333
us,sextonville,Sextonville,WI,,43.2783333,-90.2908333
id,tjiburial,Tjiburial,30,,-6.801944,106.768611
ye,ar rada`i,Ar Rada`i,13,,14.0177778,44.3952778
pk,karampur bhatti,Karampur Bhatti,04,,30.334722,73.458333
ng,gale,Gale,46,,10.052652,10.340519
cn,sijiahe,Sijiahe,24,,35.427778,113.062778
cz,brezno,Brezno,89,,50.356091,13.732435
ir,guvaddeh,Guvaddeh,04,,27.383333,62.316667
fr,bussiereix,Bussiereix,B7,,45.931616,.850483
cn,zhenglu,Zhenglu,25,,37.272778,117.34
ru,aki-yurt,Aki-Yurt,19,,43.508034,44.863695
sl,senehun,Senehun,03,,7.2,-11.9833333
pa,la saragosa,La Saragosa,04,,9.5666667,-79.1333333
lt,smalkvieciai,Smalkvieciai,63,,55.6333333,22.45
tr,dogruyol,Dogruyol,13,,38.299965,42.227164
cn,shiquan,Shiquan,32,,30.961756,104.526594
vn,buon riong deum,Buon Riong Deum,23,,12.216667,108.283333
ir,zira,Zira,22,,29.4141,51.1502
sv,el corozal,El Corozal,14,,13.5166667,-88.6333333
cd,busu-mindwana,Busu-Mindwana,00,,3.166667,20.8
si,vrbovo,Vrbovo,04,,45.5522222,14.2755556
ph,puting bato,Puting Bato,H2,,15.2005,121.408
kr,chagunmae,Chagunmae,16,,34.478333,126.968889
pa,palmilla,Palmilla,04,,8.95,-80.7833333
af,loya-bela,Loya-Bela,34,,34.976111,71.318611
ar,minacar,Minacar,13,,-35.86661,-70.068303
mx,bolanos,Bolaños,11,,20.816667,-101.9
id,muarotebo,Muarotebo,05,,-1.5,102.433333
vn,song cau,Song Cau,61,,13.45,109.216667
tr,turkoglu,Turkoglu,05,,40.742868,35.373273
in,mugarra tatehi,Mugarra Tatehi,36,,27.851,79.0338
bg,kondofrey,Kondofrey,58,,42.4277778,23.005
jp,furuichi,Furuichi,13,,35.016667,135.15
pk,naiyan da dera,Naiyan da Dera,04,,32.3641,72.405803
id,sukaliuh,Sukaliuh,33,,-6.5768,105.8336
pk,chamath,Chamath,03,,34.367061,73.065651
af,larmush,Larmush,05,,35.334338,67.748866
fm,nemwan,Nemwan,03,,7.3833333,151.8833333
ru,aksarino,Aksarino,16,,55.446261,47.549551
ms,fairfield,Fairfield,01,,16.6833333,-62.2
ml,kelegou,Kélégou,07,,13.0833333,-6.5
th,ban yue la pae,Ban Yue La Pae,69,,6.58425,101.533889
us,sunnyside,Sunnyside,GA,,34.9330556,-83.7772222
tg,mandouta,Mandouta,07,,9.9833333,0.9
ga,kounadembe,Kounadembé,07,,-1.4333333,12.3833333
us,lakecreek,Lakecreek,OR,,42.4225000,-122.6250000
cm,noubou,Noubou,12,,10.3166667,14.1166667
th,ban yai,Ban Yai,31,,6.161194,101.908306
fr,arraye,Arraye,B2,,48.840055,6.291951
us,barren creek,Barren Creek,WV,,38.4802778,-81.2833333
ir,zagheh-ye `olya,Zagheh-ye `Olya,16,,35.7563,47.1076
ru,shpingarev,Shpingarëv,09,,50.116111,38.298889
fr,landepereuse,Landepéreuse,A7,,49.004296,.638655
bw,bonapitse,Bonapitse,01,,-23.0166667,26.6666667
gy,jacaretinga,Jacaretinga,19,,3.5166667,-59.6666667
id,selotambak utara,Selotambak Utara,08,,-7.6396,112.849
cn,weijiaba,Weijiaba,26,,32.834167,105.5775
us,davenport,Davenport,OK,,35.7047222,-96.7650000
cn,yangtieni,Yangtieni,12,,31.026111,114.108056
ua,gumentsy,Gumentsy,15,,49.512806,23.066587
ua,shishaki,Shishaki,18,,49.857614,33.291892
id,krajan lama bedadung,Krajan Lama Bedadung,08,,-8.1223,113.768
us,rancocas woods,Rancocas Woods,NJ,,39.9888889,-74.8605556
ru,blinovshchina,Blinovshchina,37,,58.9622,47.263329
er,wekerti,Wekerti,00,,15.1530556,39.0072222
pg,kundubiran,Kundubiran,06,,-5.7833333,141.0166667
ci,bianhitouo ii,Bianhitouo II,78,,6.853982,-8.174154
bj,sori,Sori,03,,10.7280556,2.7825
bg,altsek,Altsek,61,,43.7833333,27.5333333
cn,xintan,Xintan,01,,29.736095,118.280854
zr,mwana goy,Mwana Goy,05,,-5.4333333,27.25
tr,kardesler,Kardesler,23,,38.5,38.733333
al,dragun,Dragun,41,,41.5225,20.2602778
it,borzago,Borzago,17,,46.1,10.733333
lt,gegrenay,Gegrenay,63,,56.1,21.9166667
sl,mobunji,Mobunji,03,,7.8333333,-12.5833333
ne,guidan kachambo,Guidan Kachambo,04,,14.0166667,6.75
th,ban khao ruak,Ban Khao Ruak,37,,14.683333,100.916667
bo,san francisco,San Francisco,04,,-16.7833333,-68.7666667
dz,douar yazerou,Douar Yazerou,51,,35.5927778,0.6588889
mn,huraliin hiid,Huraliin Hiid,08,,46.2333333,106.25
pe,ancocullo,Ancocullo,04,,-15.1916667,-71.2072222
bd,gaindapara,Gaindapara,80,,22.3666667,92.2166667
bg,palilula,Palilula,33,,43.4369444,23.3880556
fr,saint-robert,Saint-Robert,A3,,48.66593,1.945923
al,kaftall,Kaftall,49,,41.9541667,19.7719444
cn,kyidartang,Kyidartang,14,,32.002,93.202
dk,riddertofte,Riddertofte,20,,54.75865,11.030113
tr,benlideresi-key,Benlideresi-Key,31,,36.448988,36.163155
sb,koli,Koli,08,,-9.4,160.1833333
ru,preussisch bahnau,Preussisch Bahnau,23,,54.46,19.894722
in,nanoti,Nanoti,35,,24.2489,78.0119
ru,gremyachiy,Gremyachiy,41,,51.915528,36.749368
ma,tamegoult,Tamegoult,47,,31.100899,-9.37653
cn,dakuangdonggou,Dakuangdonggou,19,,41.216073,124.23412
cn,beishangping,Beishangping,24,,35.010278,111.521389
br,santa maria,Santa Maria,22,,-5.260278,-36.276389
th,ban rai luang,Ban Rai Luang,02,,18.570361,98.825611
pk,rasool bakhsh lashari,Rasool Bakhsh Lashari,05,,27.429043,68.668306
ba,gusta ravan,Gusta Ravan,02,,43.7288889,19.2655556
id,keumaladalam,Keumaladalam,01,,5.211,95.8534
us,hog jaw,Hog Jaw,AL,,34.3322222,-86.5602778
kp,tutapsangcham,Tutapsangcham,01,,40.1833333,126.5666667
ru,sredniye luchki,Sredniye Luchki,76,,53.613127,36.788179
et,gona,Gona,46,,12.233333,39.233333
id,orongpulet,Orongpulet,17,,-8.3361,116.2046
id,kedungcacing,Kedungcacing,08,,-7.3993,112.5234
mx,maguey,Maguey,14,,21.2,-102.116667
th,ban lam dang,Ban Lam Dang,64,,7.9,99.533333
pt,domingao,Domingão,16,,39.244063,-8.032904
cn,hengdao,Hengdao,23,,30.945829,121.022147
ec,nar,Nar,04,,-2.55,-78.9333333
ve,los naranjos,Los Naranjos,20,,7.6622222,-71.9755556
sl,duako,Duako,02,,9.85,-11.2833333
us,curtis,Curtis,WY,,42.0897222,-104.9494444
cn,tutuo,Tutuo,09,,35.25,112.633333
vn,ap vinh tuong,Ap Vinh Tuong,21,,9.475,105.218611
lt,paezeriu,Paezeriu,60,,55.7,24.9666667
nl,ulfterhoek,Ulfterhoek,05,,51.424099,6.048381
tr,gencelli,Gencelli,09,,37.957619,28.660239
zr,musungi,Musungi,00,,-7.1833333,28.3333333
cn,tsuyangchi,Tsuyangchi,10,,38.183333,114.45
kh,khum reab,Khum Reab,14,,11.65,105.2
no,nedstryn,Nedstryn,15,,61.916667,6.783333
es,bielba,Bielba,39,,43.15,-4.45
ir,sagzabad,Sagzabad,38,,35.773,49.9378
ru,gryada,Gryada,77,,55.835518,32.200418
cn,baojiaxiang,Baojiaxiang,04,,31.698114,121.1091
kh,phumi ta thaong,Phumi Ta Thaong,08,,11.15,103.7333333
la,ban poun,Ban Poun,14,,19.266667,103.283333
mm,shabingon,Shabingon,08,,19.7666667,96.15
pk,bakht baland,Bakht Baland,04,,30.174486,70.713152
sn,nemataba mandingue,Némataba Mandingue,11,,12.7811111,-15.0188889
lt,cerkosari,Cerkosari,61,,55.6333333,23.55
vn,ap thanh dang,Ap Thanh Dang,40,,11.083333,107.1
us,boice,Boice,MS,,31.7475000,-88.6547222
hu,hegyesto,Hegyesto,23,,46.883333,17.65
pa,sabaneta de angulo,Sabaneta de Ángulo,10,,7.7166667,-80.9333333
id,landang jambu,Landang Jambu,26,,2.8028,99.0433
dz,el kheloua,El Kheloua,12,,36.5,5.6666667
ru,chentsovo,Chentsovo,77,,56.4,34.4
kr,gwonseondong,Gwonseondong,13,,37.258333,127.028333
ru,chineta,Chineta,04,,51.3295,83.0543
mz,errati,Erráti,06,,-15.7283333,39.4375
th,ban pang kham suk,Ban Pang Kham Suk,02,,17.974972,98.388889
bd,baisdhar,Baisdhar,81,,24.8166667,90.7666667
lr,biaplay,Biaplay,09,,7.1808333,-8.4958333
ge,nadaburi,Nadaburi,05,,42.1566667,44.3247222
kz,bez-kuduk,Bez-Kuduk,07,,50.110278,49.373333
ua,okhrimovka,Okhrimovka,04,,47.633333,33.35
pl,gora motyczna,Gora Motyczna,80,,50.0921,21.370294
ph,lusoc,Lusoc,38,,13.5061,121.9917
fr,munot,Munot,A1,,47.154497,3.025998
za,bakbank,Bakbank,03,,-29.774541,25.590075
pk,bahram shah,Bahram Shah,03,,32.906667,70.507778
ml,malemougou,Malémougou,07,,13.2833333,-6.7
ph,alejandro pascual,Alejandro Pascual,47,,15.71667,120.98333
co,morito,Morito,02,,6.166667,-75.866667
us,letson settlement,Letson Settlement,AL,,34.5766667,-87.2916667
tr,kizilgol,Kizilgol,31,,35.971154,36.095064
de,gengkofen,Gengkofen,02,,48.966667,12.25
in,shikarpur,Shikarpur,36,34652,28.283333,78.016667
my,telok ayer,Telok Ayer,02,,5.747731,100.361229
pl,wisnicze,Wisnicze,83,,50.494042,18.565204
sk,rimavica,Rimavica,01,,48.5166667,19.9
cn,qianliu,Qianliu,29,,22.9,100.2
ht,nouvelette,Nouvelette,08,,18.5833333,-74.1333333
lb,khartum,Khartum,02,,33.4,35.3666667
tr,cerme,Çerme,24,,39.619659,40.594722
mm,indaw,Indaw,11,,21.1,96.4166667
it,san giorgio lomellina,San Giorgio Lomellina,09,,45.166667,8.783333
pg,bugatabin,Bugatabin,18,,-4.8,141.1333333
so,faylogooye,Faylogooye,13,,2.7666667,45.6333333
ma,ouled ben khrane,Ouled ben khrane,47,,32.549182,-7.75399
gh,agyebon,Agyebon,08,,6.3,0.0666667
ca,fort mcmurray,Fort McMurray,01,,56.733333,-111.383333
es,caserio prados,Caserío Prados,31,,38.030987,-1.910237
pk,jamwani,Jamwani,04,,30.42093,70.641414
ng,ungwan sarkin dangi,Ungwan Sarkin Dangi,24,,11.827521,7.532061
ru,nikola-koptevo,Nikola-Koptevo,85,,58.702611,40.674191
kr,munhyeon,Munhyeon,12,,37.630556,126.433056
gt,el bonete,El Bonete,10,,14.45,-89.95
pe,taurija,Taurija,13,,-8.3666667,-77.3333333
pk,kothre,Kothre,04,,32.033333,74.3875
kz,livanovskiy,Livanovskiy,13,,52.093333,61.990833
sk,hliniky,Hliníky,04,,47.8333333,18.1
in,balkonda,Balkonda,02,,18.866667,78.35
id,macope,Macope,38,,-4.3641,119.9027
ec,carlos ordonez lazo,Carlos Ordóñez Lazo,02,,-2.8166667,-78.7666667
ro,risca peste vale,Risca peste Vale,34,,47.366667,26.233333
sn,adabere,Adabéré,04,,15.1333333,-12.7833333
hr,trnovdc,Trnovdc,08,,44.5263889,15.2772222
co,mapuraray,Mapúraray,17,,12.05,-71.766667
pk,ghulam madad lohar baloch goth,Ghulam Madad Lohar Baloch Goth,05,,27.983589,68.609888
cn,siyuangou,Siyuangou,04,,32.25,119.183333
id,lokowina,Lokowina,18,,-9.6166,119.2239
th,ban khok na lao,Ban Khok Na Lao,18,,17.25,101.983333
id,serayak,Serayak,05,,-.516667,104.55
vn,long thanh,Long Thanh,28,,13.616667,109.2
my,kampong baharu,Kampong Baharu,16,,5.8114,118.0739
pk,khudayarwala,Khudayarwala,04,,32.021568,71.247437
cn,tchertchen,Tchertchen,13,,38.133333,85.533333
cn,shencaoyang,Shencaoyang,30,,22.907377,115.618199
cu,guanajal,Guanajal,08,,22.1725,-80.62
pk,chindagh,Chindagh,03,,34.929422,72.095187
iq,rashan,Rashan,11,,36.5252778,44.215
fr,saint-fulgent,Saint-Fulgent,B5,,46.852259,-1.177979
cn,qunai,Qunai,31,,18.839346,110.404213
md,gura-kamencha,Gura-Kamencha,75,,47.890556,28.356944
my,kampung titi teras,Kampung Titi Teras,02,,5.839784,100.453568
us,poarch store,Poarch Store,VA,,36.8366667,-77.7277778
ph,del pilar,Del Pilar,67,,12.295,125.0326
ru,blizhneye chesnochnoye,Blizhneye Chesnochnoye,09,,50.6926,38.851
ru,barskoye,Barskoye,83,,56.279841,41.944696
zr,gungu,Gungu,07,,-1.6519444,28.8769444
kr,cheimpyong,Cheimpyong,03,,35.520011,127.423161
ma,douar oulad salem,Douar Oulad Salem,52,,34.564834,-5.77303
